HOG	OG	Gene Tree Parent Clade	Scerevisiae	Ndairenensis	Smikatae	Skudriavzevii	Tblattae	Suvarum	Tphaffii	Tdelbrueckii	Zrouxii	Vpolyspora	Ecymbalariae	Cglabrata	Kafricana	Egossypii	Knaganishii	Klactis	Lthermotolerans	Lkluyveri	Ncastellii	Lwaltii
N0.HOG0004438	OG0003972	n0	YPR108W	NDAI0A04790	Smik_16.348	Skud_16.393	TBLA0C02350	Suva_16.435	TPHA0J01170	TDEL0C05590	ZYRO0C17798g	Kpol_284.2		CAGL0G01672g	KAFR0D04270	ADR027W	KNAG0A07580	KLLA0D14663g	KLTH0F12232g	SAKL0F05720g	NCAS0A11490	Kwal_47.17198
N0.HOG0004439	OG0003973	n0	YPR100W	NDAI0A04890	Smik_16.340	Skud_16.385	TBLA0F01770	Suva_16.426	TPHA0J01120	TDEL0C05490	ZYRO0C17578g		Ecym_2609	CAGL0G01881g	KAFR0D04180	AEL321C	KNAG0A07490	KLLA0F08349g	KLTH0F10868g	SAKL0B09152g	NCAS0A11410	Kwal_23.3766
N0.HOG0004440	OG0003974	n0	YKR070W	NDAI0H00630	Smik_11.332	Skud_11.306	TBLA0A09430	Suva_11.305	TPHA0J01290	TDEL0B02710	ZYRO0B15796g	Kpol_473.12		CAGL0G01925g	KAFR0H00460	AGR297C	KNAG0C06350	KLLA0F16192g	KLTH0F17248g	SAKL0G01232g	NCAS0C05420	Kwal_55.21665
N0.HOG0004441	OG0003975	n0	YKR074W	NDAI0F00650	Smik_11.337	Skud_11.311	TBLA0A09390	Suva_11.310	TPHA0J01330	TDEL0B02640	ZYRO0B15972g	Kpol_473.16		CAGL0G02013g	KAFR0K01280	ADR201W	KNAG0L01830	KLLA0F16401g	KLTH0F17424g	SAKL0G01056g	NCAS0G00520	Kwal_YGOB_Anc_5.659
N0.HOG0004442	OG0003976	n0	YKR087C	NDAI0E04970	Smik_11.350	Skud_11.324	TBLA0A09220	Suva_11.323	TPHA0J01520	TDEL0B02390	ZYRO0A11836g	Kpol_1018.86	Ecym_4036	CAGL0G02321g	KAFR0H00300		KNAG0C06510	KLLA0A07711g	KLTH0F17996g	SAKL0G00506g	NCAS0A03270	Kwal_55.21811
N0.HOG0004443	OG0003977	n0	YIL099W	NDAI0G00580	Smik_9.79	Skud_9.73	TBLA0B06900	Suva_9.99	TPHA0D01570	TDEL0C03860	ZYRO0D02772g		Ecym_3314	CAGL0G02717g	KAFR0H03370	ADL225W	KNAG0H02080	KLLA0F04059g	KLTH0G10142g	SAKL0E07920g	NCAS0G03900	Kwal_23.5002
N0.HOG0004444	OG0003978	n0	YER106W	NDAI0A01570	Smik_5.252	Skud_5.231	TBLA0I00370	Suva_5.227	TPHA0E00790	TDEL0C01450	ZYRO0B03586g	Kpol_1018.101		CAGL0G03377g	KAFR0K01890	AGL304W	KNAG0C03500	KLLA0E20637g	KLTH0C06446g	SAKL0F12716g	NCAS0A14460	Kwal_27.10796
N0.HOG0004445	OG0003979	n0	YLR005W	NDAI0I02010	Smik_12.67	Skud_12.71	TBLA0C03620	Suva_10.83	TPHA0E02960	TDEL0E03990	ZYRO0A11176g	Kpol_1004.2		CAGL0G04059g	KAFR0J00710	ADR338C	KNAG0B05150	KLLA0E09615g	KLTH0B02794g	SAKL0G12210g	NCAS0D02890	Kwal_33.15246
N0.HOG0004446	OG0003980	n0	YDR493W	NDAI0A07150	Smik_4.770	Skud_4.767	TBLA0B08260	Suva_2.669	TPHA0P01060	TDEL0D05350	ZYRO0B06578g	Kpol_1054.3		CAGL0G04653g	KAFR0A08140	AFR338W	KNAG0K02170	KLLA0C12419g	KLTH0C09482g	SAKL0C09240g	NCAS0I02560	Kwal_56.22706
N0.HOG0004447	OG0003981	n0	YOR107W	NDAI0B04220	Smik_15.285	Skud_15.270		Suva_8.159	TPHA0F01730	TDEL0F01280	ZYRO0B09658g	Kpol_505.8	Ecym_5412	CAGL0G04763g	KAFR0J02000	AFL230W	KNAG0H03410	KLLA0C13189g	KLTH0D09130g	SAKL0E10450g	NCAS0B06890	Kwal_26.8427
N0.HOG0004448	OG0003982	n0	YLR368W	NDAI0F01970	Smik_12.455	Skud_12.453		Suva_10.484	TPHA0F01170	TDEL0E01570	ZYRO0B07546g	Kpol_472.8	Ecym_2762	CAGL0G04939g	KAFR0A06160	AFR582W	KNAG0A06490	KLLA0B07865g	KLTH0D13508g	SAKL0H04026g	NCAS0A06770	Kwal_26.9277
N0.HOG0004449	OG0003983	n0	YLR363C	NDAI0J02000	Smik_12.451	Skud_12.448	TBLA0A08260	Suva_10.465	TPHA0B00980	TDEL0E01690	ZYRO0B07766g	Kpol_1042.23	Ecym_6268	CAGL0G05005g	KAFR0A06180		KNAG0B05890	KLLA0B08107g	KLTH0D13288g	SAKL0H04268g	NCAS0J01240	Kwal_26.9231
N0.HOG0004450	OG0003984	n0	YDR061W	NDAI0A03750	Smik_4.299	Skud_4.316	TBLA0A08720	Suva_2.220	TPHA0H00120	TDEL0B04340	ZYRO0G09130g	Kpol_1002.105	Ecym_5557	CAGL0G05093g	KAFR0C02740		KNAG0D02010	KLLA0D02156g	KLTH0H07942g	SAKL0H19294g	NCAS0B04350	Kwal_14.2052
N0.HOG0004451	OG0003985	n0	YBL026W	NDAI0A03760	Smik_2.90	Skud_2.79	TBLA0B08120	Suva_2.95	TPHA0C02850	TDEL0B04360	ZYRO0G09086g	Kpol_1053.22	Ecym_6224	CAGL0G05115g	KAFR0C02750	AFR182C	KNAG0D02020	KLLA0F09207g	KLTH0H08008g	SAKL0H19360g	NCAS0B04420	
N0.HOG0004452	OG0003986	n0	YDR072C	NDAI0A03650	Smik_4.310	Skud_4.326	TBLA0F03590	Suva_2.231	TPHA0A02150	TDEL0B04170	ZYRO0G14718g	Kpol_1032.31	Ecym_5553	CAGL0G05313g	KAFR0C02620		KNAG0D01900	KLLA0E10187g	KLTH0H07590g	SAKL0H18876g	NCAS0B04230	Kwal_14.1998
N0.HOG0004453	OG0003987	n0	YHR143W	NDAI0H03670	Smik_8.224	Skud_8.205		Suva_15.340	TPHA0F02210	TDEL0F00780	ZYRO0G05104g	Kpol_1051.36	Ecym_6406	CAGL0G05896g	KAFR0F00460	AFR029C	KNAG0H03790	KLLA0D07942g	KLTH0B06556g	SAKL0E12474g	NCAS0D00480	Kwal_33.14531
N0.HOG0004454	OG0003988	n0	YHR132C	NDAI0B04490	Smik_8.212	Skud_8.192	TBLA0B01040	Suva_15.328	TPHA0F02040	TDEL0B04740	ZYRO0G05522g	Kpol_1039.67		CAGL0G06072g	KAFR0F00560	AFR045W	KNAG0H03670	KLLA0F27929g	KLTH0B06072g	SAKL0E11946g	NCAS0B07160	Kwal_33.14613
N0.HOG0004455	OG0003989	n0	YJL023C	NDAI0C02820	Smik_10.250	Skud_10.199		Suva_12.59	TPHA0A04610	TDEL0E04570	ZYRO0C13706g	Kpol_1060.50	Ecym_4736	CAGL0G06820g	KAFR0J00590	AAL129C	KNAG0B05010	KLLA0F14905g	KLTH0B02398g	SAKL0G13662g	NCAS0D01960	Kwal_33.15334
N0.HOG0004456	OG0003990	n0	YGR100W	NDAI0G01190	Smik_6.186	Skud_7.399	TBLA0E00590	Suva_7.383	TPHA0D02990	TDEL0F03270	ZYRO0C12738g	Kpol_359.9		CAGL0G07777g	KAFR0K01630	AAR091W	KNAG0B01040	KLLA0D15202g	KLTH0E05412g	SAKL0F06446g	NCAS0E01060	Kwal_55.20508
N0.HOG0004457	OG0003991	n0	YLR245C	NDAI0G02240	Smik_12.305	Skud_12.320		Suva_10.341	TPHA0D00670	TDEL0F05150	ZYRO0C04136g	Kpol_541.32	Ecym_4176	CAGL0G08228g	KAFR0H01970	AGL123W	KNAG0A02700	KLLA0D18414g	KLTH0F08624g	SAKL0H13816g	NCAS0C02910	Kwal_23.3287
N0.HOG0004458	OG0003992	n0	YLR244C	NDAI0G02230	Smik_12.304	Skud_12.319	TBLA0H00900	Suva_10.340	TPHA0C02350	TDEL0F05160	ZYRO0C04158g	Kpol_1043.47		CAGL0G08250g	KAFR0H01960	AGL122W	KNAG0A02690	KLLA0D18436g	KLTH0F08602g	SAKL0H13794g	NCAS0C02900	Kwal_23.3283
N0.HOG0004459	OG0003993	n0	YLR243W	NDAI0G02190	Smik_12.303	Skud_12.318	TBLA0H03220	Suva_10.339	TPHA0L00940	TDEL0F05210	ZYRO0C04268g		Ecym_4170	CAGL0G08294g	KAFR0H01920	AGL117C	KNAG0A02650	KLLA0D18557g	KLTH0F08492g	SAKL0H13684g	NCAS0C02860	Kwal_23.3262
N0.HOG0004460	OG0003994	n0	YIL122W	NDAI0D01010, NDAI0B03780	Smik_9.47	Skud_9.46	TBLA0G02560	Suva_9.69	TPHA0F01300	TDEL0C04570	ZYRO0A01452g	Kpol_1003.10, Kpol_1039.18		CAGL0G08646g	KAFR0J00920, KAFR0J01630		KNAG0E01820			SAKL0E08800g	NCAS0G02980, NCAS0B06490	
N0.HOG0004461	OG0003995	n0	YIL129C	NDAI0F00190	Smik_9.40	Skud_9.38	TBLA0E03740	Suva_9.62	TPHA0C03070	TDEL0C04490	ZYRO0A01276g	Kpol_1003.7		CAGL0G08822g	KAFR0J01700	AER378W	KNAG0E01770	KLLA0F04587g	KLTH0G09130g	SAKL0E08976g	NCAS0G00160	Kwal_23.4759
N0.HOG0004462	OG0003996	n0	YOL018C	NDAI0G05320	Smik_15.151	Skud_15.142	TBLA0C01180	Suva_15.153	TPHA0A02530	TDEL0D02430	ZYRO0G04334g	Kpol_295.3		CAGL0G08932g	KAFR0I01990	AEL026C	KNAG0I01500	KLLA0A10681g	KLTH0H13288g	SAKL0D10032g	NCAS0A08900	Kwal_34.16287
N0.HOG0004463	OG0003997	n0	YPL199C	NDAI0F01680	Smik_6.404	Skud_16.80	TBLA0A01980	Suva_16.108	TPHA0E02900	TDEL0E05150	ZYRO0G08690g	Kpol_1033.43	Ecym_2210	CAGL0J11000g, CAGL0G09108g		AFL083C		KLLA0D03388g	KLTH0H04334g	SAKL0A04642g	NCAS0A01130	Kwal_56.24029
N0.HOG0004464	OG0003998	n0	YPR180W	NDAI0J00350	Smik_16.444	Skud_16.484	TBLA0B04900	Suva_16.512	TPHA0G00300	TDEL0H00350	ZYRO0D01078g	Kpol_1050.106		CAGL0G09889g	KAFR0B00350	AEL271C	KNAG0F03910	KLLA0E04863g	KLTH0A00836g	SAKL0F16016g	NCAS0A15190	Kwal_23.5359
N0.HOG0004465	OG0003999	n0	YPL255W	NDAI0F01160	Smik_6.459	Skud_16.24		Suva_16.51	TPHA0H02080	TDEL0A07050	ZYRO0C05632g	Kpol_1018.21	Ecym_2127	CAGL0H00594g	KAFR0F00950	AFL172W	KNAG0D00650	KLLA0F06534g	KLTH0A05588g	SAKL0A02552g	NCAS0G01020	Kwal_23.6062
N0.HOG0004466	OG0004000	n0	YPL254W	NDAI0F01170	Smik_6.458	Skud_16.25	TBLA0G01720	Suva_16.52	TPHA0H02070	TDEL0A07040	ZYRO0C05654g	Kpol_1018.22		CAGL0H00616g	KAFR0F00960	AFL171W	KNAG0D00660	KLLA0B10351g	KLTH0A05566g	SAKL0A02574g	NCAS0G01030	Kwal_23.6059
N0.HOG0004467	OG0004001	n0	YPL236C	NDAI0F01340	Smik_6.441	Skud_16.42	TBLA0A02240	Suva_16.70	TPHA0H01880	TDEL0A06750	ZYRO0E07876g	Kpol_1002.21	Ecym_2153	CAGL0H00979g	KAFR0F01150	AFL143C	KNAG0D00830		KLTH0H03080g	SAKL0A03344g	NCAS0G01210	Kwal_56.24274
N0.HOG0004468	OG0004002	n0	YDR283C	NDAI0C04000	Smik_4.532	Skud_4.546	TBLA0C03180	Suva_2.449	TPHA0D01770	TDEL0E03300	ZYRO0G16632g	Kpol_1055.25		CAGL0H01199g	KAFR0E01490	AAL083W	KNAG0F03410	KLLA0C10802g	KLTH0G06468g	SAKL0G10384g	NCAS0F02520	Kwal_23.5668
N0.HOG0004469	OG0004003	n0	YDR520C	NDAI0F04500	Smik_4.801	Skud_4.795	TBLA0A07480	Suva_2.701	TPHA0E03830		ZYRO0F18018g	Kpol_2002.26	Ecym_1032	CAGL0H01683g	KAFR0G01220	AFR722C	KNAG0F00190	KLLA0C01023g	KLTH0F00990g	SAKL0C00990g	NCAS0A00300	Kwal_33.13118
N0.HOG0004470	OG0004004	n0	YJR062C	NDAI0A04010	Smik_10.352	Skud_10.286	TBLA0B01970	Suva_12.151	TPHA0O01060	TDEL0F00510	ZYRO0G01848g	Kpol_1056.18		CAGL0H01771g	KAFR0D03650	AFR415C	KNAG0B00210	KLLA0B13816g	KLTH0C02596g	SAKL0D12694g	NCAS0A12230	Kwal_27.9990
N0.HOG0004471	OG0004005	n0	YHR083W	NDAI0C01840	Smik_8.161	Skud_8.144	TBLA0A03260	Suva_15.277	TPHA0D02220	TDEL0E02490	ZYRO0D10824g	Kpol_1055.9	Ecym_8006	CAGL0H02167g	KAFR0D04810	ADR303W		KLLA0E17117g	KLTH0E03608g	SAKL0G08206g	NCAS0H01790	Kwal_55.20177
N0.HOG0004472	OG0004006	n0	YMR266W	NDAI0K00540	Smik_13.479	Skud_13.437	TBLA0B03100	Suva_13.450	TPHA0I00440	TDEL0B00780	ZYRO0G13640g	Kpol_1069.10	Ecym_2697	CAGL0H02255g	KAFR0B03710	AER282W		KLLA0E11111g	KLTH0C04334g	SAKL0D02024g	NCAS0C00540	Kwal_27.10376
N0.HOG0004473	OG0004007	n0	YGL083W	NDAI0I01190	Smik_7.200	Skud_7.199	TBLA0B05130	Suva_7.187	TPHA0J02290	TDEL0G01540	ZYRO0G08316g	Kpol_1002.61		CAGL0H03245g	KAFR0C02170	AFL068C	KNAG0F02100	KLLA0E19207g	KLTH0H04686g	SAKL0A05038g	NCAS0D03690	Kwal_56.23939
N0.HOG0004474	OG0004008	n0	YBL088C	NDAI0E04020	Smik_2.32	Skud_2.20	TBLA0D00420	Suva_2.29	TPHA0K00690	TDEL0C02790	ZYRO0B03982g	Kpol_1045.22		CAGL0H04609g	KAFR0L01900	AGL287W	KNAG0B02200	KLLA0E06975g	KLTH0C06050g	SAKL0F13090g	NCAS0E02450	Kwal_27.10709
N0.HOG0004475	OG0004009	n0	YML014W	NDAI0C00970	Smik_13.137	Skud_13.137	TBLA0A06960	Suva_13.146	TPHA0K00450	TDEL0A04070	ZYRO0D12936g	Kpol_1023.89		CAGL0H04807g	KAFR0C05480	ADR181W	KNAG0B03590	KLLA0B01023g	KLTH0G04158g	SAKL0G05302g	NCAS0H02650	Kwal_47.18564
N0.HOG0004476	OG0004010	n0	YLR376C	NDAI0J02090	Smik_12.463	Skud_12.461	TBLA0A08160	Suva_10.492	TPHA0B00920	TDEL0E01470	ZYRO0B07348g	Kpol_483.1	Ecym_2772	CAGL0H04895g	KAFR0A06110		KNAG0B05950	KLLA0E01255g	KLTH0D13728g	SAKL0H03806g	NCAS0J01320	Kwal_YGOB_Anc_4.225
N0.HOG0004477	OG0004011	n0	YPL068C	NDAI0E02860	Smik_16.167	Skud_16.213	TBLA0H03565	Suva_16.244	TPHA0L01630	TDEL0B03120		Kpol_1024.48	Ecym_1172	CAGL0H05247g	KAFR0E00970	AEL236C	KNAG0A02010	KLLA0E23255g	KLTH0E12386g	SAKL0H10208g	NCAS0C02150	Kwal_27.12010
N0.HOG0004478	OG0004012	n0	YPL083C	NDAI0C05590	Smik_16.154	Skud_16.200	TBLA0B04540	Suva_16.229	TPHA0I01810	TDEL0A05030	ZYRO0A13332g	Kpol_1048.52		CAGL0H05555g	KAFR0I00760	AGR205C	KNAG0A03590	KLLA0E23849g	KLTH0E12980g	SAKL0H09636g	NCAS0B02090	Kwal_27.12120
N0.HOG0004479	OG0004013	n0	YPL096C-A	NDAI0C05720	Smik_16.140	Skud_16.186	TBLA0H03840	Suva_16.215	TPHA0A01270	TDEL0A05200	Zrou_YGOB_Anc_8.576	Kpol_1074.2		Cgla_YGOB_Anc_8.576	KAFR0I00670	ABR192CA	KNAG0A03480	Klac_YGOB_Anc_8.576	Kthe_YGOB_Anc_8.576	Sklu_YGOB_Anc_8.576	NCAS0B01960	Kwal_YGOB_Anc_8.576
N0.HOG0004480	OG0004014	n0	YIL146C		Smik_9.23	Skud_9.22	TBLA0E02090	Suva_9.43	TPHA0D04580	TDEL0B02220	ZYRO0G06666g	Kpol_2001.73	Ecym_4021	CAGL0H06545g	KAFR0D02250	AFR283W	KNAG0L02100	KLLA0A00660g	KLTH0E01122g	SAKL0E14850g	NCAS0G00260	Kwal_55.19716
N0.HOG0004481	OG0004015	n0	YIL150C	NDAI0F00280	Smik_9.19	Skud_9.18	TBLA0G01020	Suva_9.38	TPHA0E00210	TDEL0B02170	ZYRO0G06578g	Kpol_1043.71		CAGL0H06589g	KAFR0D02210	AFR287W	KNAG0L02150	KLLA0A00572g	KLTH0E01034g	SAKL0E14938g	NCAS0G00220	Kwal_55.19691
N0.HOG0004482	OG0004016	n0	YML097C	NDAI0K00170	Smik_13.38	Skud_13.45	TBLA0C06290	Suva_13.51	TPHA0C04960	TDEL0B00450	ZYRO0A00506g	Kpol_455.8		CAGL0H06941g	KAFR0A03010	ADL349W	KNAG0G03620	KLLA0D10263g	KLTH0E16434g	SAKL0D00330g	NCAS0C00200	Kwal_27.9703
N0.HOG0004483	OG0004017	n0	YDR482C	NDAI0C05270	Smik_4.759	Skud_4.756	TBLA0H03360	Suva_2.656	TPHA0L01390	TDEL0B01340	ZYRO0F08558g		Ecym_2554	CAGL0H07381g	KAFR0E02960	AGL263W	KNAG0A03970	KLLA0B10054g	KLTH0E11682g	SAKL0H11044g	NCAS0B02420	Kwal_27.11877
N0.HOG0004484	OG0004018	n0	YBR096W	NDAI0A07780	Smik_2.238	Skud_2.224	TBLA0B02530	Suva_4.343	TPHA0A03710	TDEL0C04790	ZYRO0C15840g	Kpol_1065.33		CAGL0H08459g	KAFR0G01660	ADL314C	KNAG0J02510	KLLA0B11968g	KLTH0E14982g	SAKL0B07282g	NCAS0I01220	Kwal_27.12557
N0.HOG0004485	OG0004019	n0	YBR094W	NDAI0A07760	Smik_2.236	Skud_2.222	TBLA0B02540	Suva_4.341	TPHA0A03720	TDEL0C04770	ZYRO0C15796g	Kpol_376.3		CAGL0H08503g	KAFR0G01640	ADL312C	KNAG0J02490	KLLA0B12012g	KLTH0E14894g	SAKL0B07216g	NCAS0I01240	Kwal_27.12547
N0.HOG0004486	OG0004020	n0	YPL225W	NDAI0I00950	Smik_6.430	Skud_16.53	TBLA0A05990	Suva_16.81	TPHA0E02690	TDEL0F01890	ZYRO0E07590g		Ecym_2166	CAGL0H08800g	KAFR0A07070	AFL129W	KNAG0F01760	KLLA0C16159g	KLTH0H03366g	SAKL0A03630g	NCAS0D03960	Kwal_56.24216
N0.HOG0004487	OG0004021	n0	YGL137W	NDAI0I00880	Smik_7.135	Skud_7.135	TBLA0A06060	Suva_7.127	TPHA0J02540	TDEL0E05480	ZYRO0E07392g	Kpol_1002.36		CAGL0H08932g	KAFR0A06990	AFL118W	KNAG0F01840	KLLA0B01958g	KLTH0H03608g	SAKL0A03872g	NCAS0D04050	Kwal_56.24163
N0.HOG0004488	OG0004022	n0	YBR058C	NDAI0A07410	Smik_2.189	Skud_2.177	TBLA0E02570	Suva_4.295	TPHA0M01090	TDEL0D03550	ZYRO0F01276g	Kpol_251.7		CAGL0H10186g	KAFR0C00410	AGR023C	KNAG0J00800	KLLA0F18700g	KLTH0C07326g	SAKL0D03322g	NCAS0I01620	Kwal_56.23084
N0.HOG0004489	OG0004023	n0	YDL112W	NDAI0B03380	Smik_4.124	Skud_4.142		Suva_4.134	TPHA0C03590	TDEL0G02550	ZYRO0F07942g	Kpol_1043.27	Ecym_3359	CAGL0H10406g	KAFR0A06820	ADL294C	KNAG0A05550	KLLA0E09197g	KLTH0F09350g	SAKL0E06688g	NCAS0B06090	Kwal_23.3442
N0.HOG0004490	OG0004024	n0	YDL113C	NDAI0B03370	Smik_4.123	Skud_4.141	TBLA0B07090	Suva_4.133	TPHA0C03580	TDEL0G02540	ZYRO0F07964g	Kpol_1043.28		CAGL0H10428g	KAFR0A06830	ADL293W	KNAG0A05530	KLLA0E09175g	KLTH0F09328g	SAKL0E06710g	NCAS0B06080	Kwal_23.3438
N0.HOG0004491	OG0004025	n0	YGL057C	NDAI0I01640	Smik_7.223	Skud_7.223	TBLA0F02430	Suva_7.214	TPHA0J01740	TDEL0G03620	ZYRO0C04972g	Kpol_461.9	Ecym_3078	CAGL0I00374g	KAFR0A04710	AAR155W	KNAG0F02580		KLTH0H06754g	SAKL0A07282g	NCAS0D03230	Kwal_14.1831
N0.HOG0004492	OG0004026	n0	YLR292C	NDAI0I01830	Smik_12.370	Skud_12.374	TBLA0E00990	Suva_10.388	TPHA0F02760	TDEL0G03820	ZYRO0D14762g	Kpol_543.27		CAGL0I00616g	KAFR0A04810	AGR293C	KNAG0F03170	KLLA0C05104g	KLTH0G14872g	SAKL0A07766g	NCAS0D03070	Kwal_56.23358
N0.HOG0004493	OG0004027	n0	YMR138W	NDAI0H02920	Smik_13.337	Skud_13.299	TBLA0B09230	Suva_13.318	TPHA0G02120	TDEL0G03240	ZYRO0A08492g	Kpol_1041.27		CAGL0I00858g	KAFR0B05110	ADR251W	KNAG0E02100	KLLA0F17072g	KLTH0E09592g	SAKL0E04906g	NCAS0D01240	Kwal_47.17857
N0.HOG0004494	OG0004028	n0	YHR105W	NDAI0C01680	Smik_8.183	Skud_8.166	TBLA0A03600	Suva_15.301	TPHA0E01850	TDEL0E02140	ZYRO0A06314g	Kpol_530.4	Ecym_5509	CAGL0I01144g	KAFR0D04970	ACL108C	KNAG0B04290		KLTH0F16588g	SAKL0G01936g	NCAS0H01970	Kwal_55.21533
N0.HOG0004495	OG0004029	n0	YHR113W	NDAI0C01630	Smik_8.191	Skud_8.174	TBLA0A03690	Suva_15.309	TPHA0H01750	TDEL0E02010	ZYRO0F09790g	Kpol_1016.10		CAGL0I01298g	KAFR0D05010		KNAG0B04250	KLLA0E21297g	KLTH0F16302g	SAKL0G02244g	NCAS0H02030	Kwal_55.21470, Kwal_55.21474
N0.HOG0004496	OG0004030	n0	YJR050W	NDAI0B01220	Smik_10.328	Skud_10.268	TBLA0B02120	Suva_12.134	TPHA0O00480	TDEL0C02530	ZYRO0F05346g	Kpol_370.9	Ecym_3566	CAGL0I01364g	KAFR0I02800	AFR363W		KLLA0F16841g	KLTH0C03256g	SAKL0D11968g	NCAS0A13020	Kwal_27.10122
N0.HOG0004497	OG0004031	n0	YJR039W	NDAI0G04820	Smik_10.311	Skud_10.256	TBLA0D01980	Suva_12.121	TPHA0O00320	TDEL0B05360	ZYRO0E03102g	Kpol_1073.29	Ecym_1373	CAGL0I01650g	KAFR0F01330	AEL069C	KNAG0I00400		KLTH0H14388g	SAKL0D11286g	NCAS0A08360	Kwal_34.16055
N0.HOG0004498	OG0004032	n0	YJR036C	NDAI0G04830	Smik_10.310	Skud_10.255	TBLA0C01630	Suva_12.119	TPHA0B04020		ZYRO0E03124g	Kpol_1067.30	Ecym_1372	CAGL0I01672g	KAFR0F01340	AEL068W	KNAG0I00410	KLLA0E22551g	KLTH0H14366g	SAKL0D11264g	NCAS0A08370	Kwal_34.16064
N0.HOG0004499	OG0004033	n0	YHR165C	NDAI0C03340	Smik_8.249	Skud_8.229	TBLA0B07980	Suva_15.365	TPHA0A05280	TDEL0G00970	ZYRO0C11572g	Kpol_1050.81		CAGL0I02266g	KAFR0E02230	ABR207W	KNAG0E00670	KLLA0A05280g	KLTH0H00726g	SAKL0H02266g	NCAS0D01400	Kwal_56.24738
N0.HOG0004500	OG0004034	n0	YHR171W	NDAI0C03390	Smik_8.255	Skud_8.235	TBLA0B07930	Suva_15.371	TPHA0A05330	TDEL0G00900	ZYRO0C11726g	Kpol_1050.86		CAGL0I02420g	KAFR0E02280	AER298C	KNAG0E00720	KLLA0A05137g	KLTH0H00572g	SAKL0H02112g	NCAS0D01350	Kwal_56.24769
N0.HOG0004501	OG0004035	n0	YHR176W	NDAI0C03440	Smik_8.260	Skud_8.240		Suva_15.376	TPHA0H01230	TDEL0G00840	ZYRO0C11858g	Kpol_260.3	Ecym_5104	CAGL0I02530g	KAFR0E02320	AER292C	KNAG0E00770	KLLA0A09229g	KLTH0B08558g	SAKL0H01980g	NCAS0D01300	Kwal_23.4373
N0.HOG0004502	OG0004036	n0	YHR178W	NDAI0C03450	Smik_8.262	Skud_8.242	TBLA0B07920	Suva_15.378	TPHA0H01240	TDEL0G00830	ZYRO0C11880g	Kpol_260.2		CAGL0I02552g	KAFR0E02330	AER291C	KNAG0E00780	KLLA0A09251g	KLTH0B08580g	SAKL0H01958g	NCAS0D01290	Kwal_23.4370
N0.HOG0004503	OG0004037	n0	YEL029C	NDAI0G00390	Smik_5.75	Skud_5.62	TBLA0C01690	Suva_5.40	TPHA0D01090	TDEL0C01400	ZYRO0F04994g	Kpol_480.2		CAGL0I03300g	KAFR0E00570	AEL076C	KNAG0G00560	KLLA0E22375g	KLTH0H14586g	SAKL0D11506g	NCAS0G04040	Kwal_34.16021
N0.HOG0004504	OG0004038	n0	YDL167C	NDAI0A01900	Smik_4.71	Skud_4.90	TBLA0E02060	Suva_4.79	TPHA0F02960	TDEL0C01990	ZYRO0F11682g	Kpol_530.32		CAGL0I03344g	KAFR0B00870	ACL149W	KNAG0C03780	KLLA0D12364g	KLTH0H01276g	SAKL0F11352g	NCAS0A14150	Kwal_56.24638
N0.HOG0004505	OG0004039	n0	YDL164C	NDAI0A01940	Smik_4.74	Skud_4.93	TBLA0E02050	Suva_4.82	TPHA0D04570	TDEL0C02040	ZYRO0F11572g	Kpol_2001.71		CAGL0I03410g	KAFR0B00830	ACL155W	KNAG0C03740	KLLA0D12496g	KLTH0H01408g	SAKL0F10912g	NCAS0A14110	Kwal_56.24616
N0.HOG0004506	OG0004040	n0	YDL150W	NDAI0A02030	Smik_4.85	Skud_4.104	TBLA0F02290	Suva_4.94	TPHA0J01700	TDEL0C02170	ZYRO0F11286g	Kpol_461.13		CAGL0I03630g	KAFR0B00980	ADR070W	KNAG0C03890	KLLA0C16379g	KLTH0H01738g	SAKL0F10802g	NCAS0A13990	Kwal_56.24552
N0.HOG0004507	OG0004041	n0	YDL053C	NDAI0D04470	Smik_4.186	Skud_4.202	TBLA0I02800	Suva_4.197	TPHA0B02360	TDEL0E01440	ZYRO0B07282g		Ecym_2775	CAGL0I04026g	KAFR0G03130	AFR594W	KNAG0D04290	KLLA0E01189g	KLTH0D13816g	SAKL0H03729g	NCAS0A02400	Kwal_26.9336
N0.HOG0004508	OG0004042	n0	YGL226C-A	NDAI0I03100	Smik_7.33	Skud_7.39	TBLA0E00380	Suva_7.33	TPHA0E02550	TDEL0D06110	ZYRO0E08998g	Kpol_460.3		CAGL0I04125g	KAFR0J02750	AFR241W	KNAG0B00420	KLLA0A01287g	KLTH0G01232g	SAKL0F01408g	NCAS0E00400	Kwal_YGOB_Anc_3.543
N0.HOG0004509	OG0004043	n0	YGL226W	NDAI0I03090	Smik_7.34	Skud_7.40		Suva_7.34	TPHA0E02560	TDEL0D06100	ZYRO0E08976g	Kpol_460.2	Ecym_2572	CAGL0I04136g	KAFR0J02740	AFR240C	KNAG0B00430	KLLA0A01297g	KLTH0G01254g	SAKL0F01430g	NCAS0E00410	Kwal_47.19171
N0.HOG0004510	OG0004044	n0	YGL164C	NDAI0K02520	Smik_7.106	Skud_7.106	TBLA0C00150	Suva_7.98	TPHA0H00570	TDEL0C01360	ZYRO0F04884g	Kpol_467.4	Ecym_6117	CAGL0I04202g	KAFR0C03250	AEL296W	KNAG0E03470		KLTH0G17006g	SAKL0B03366g	NCAS0A05120	Kwal_14.1542
